Artem 	 Databases : 	 - SQL Server query execution pipeline
Artem 	 .NET Section [Common] : 	 - Implicit and explicit casts
Artem 	 .NET Section [Common] : 	 - What is LINQ?
Artem 	 .NET Section [WEB] : 	 - Cookies
Artem 	 Databases : 	 - ACID
Artem 	 .NET Section [Common] : 	 - Boxing/Unboxing
Artem 	 .NET Section [WEB] : 	 - Application lifecycle
Artem 	 Databases : 	 - Transactions ( what is it and transaction isolation levels )
Artem 	 .NET Section [Common] : 	 - Fluent and Query syntax
Artem 	 .NET Section [Common] : 	 - How to wrap external libraries during direct using? ( design pattern Adapter, please have a look )
Artem 	 .NET Section [Common] : 	 - Nullable types
Artem 	 .NET Section [Common] : 	 - What is the difference between IEnumerable and IQueryable?
Artem 	 .NET Section [Common] : 	 - Which design pattern was taken for Events implementation in .Net? ( Publish/ Subscribe )
Artem 	 Databases : 	 - Normal forms ( enough 3 )
Artem 	 Databases : 	 - Group By, Order By, Having By 
Artem 	 .NET Section [Common] : 	 - How does NEW modifier work?
Ivan 	 .NET Section [Common] : 	 - How does CLR resolve which version of virtual method in hierarchy to call?
Ivan 	 .NET Section [Common] : 	 - Differed execution of LINQ queries
Ivan 	 .NET Section [WEB] : 	 - Routing
Ivan 	 .NET Section [WEB] : 	 - What is the difference between ASP .NET and .NET Core?
Ivan 	 .NET Section [WEB] : 	 - What is the difference between MVC/MVP/MVVM?
Ivan 	 .NET Section [WEB] : 	 - Http Request lifecycle
Ivan 	 .NET Section [Common] : 	 - What is framework?
Ivan 	 Databases : 	 - Indexes and constraints
Ivan 	 .NET Section [Common] : 	 - Shallow Vs Deep Copy ( how to implement Deep copy )
Ivan 	 .NET Section [WEB] : 	 - Javascript ( this and how bind it to the object, hoisting, functional and prototype inheritance, closures, such bullshit like undefined and types in javascript )
Ivan 	 .NET Section [WEB] : 	 - HTTP Verbs and Headers
Ivan 	 .NET Section [WEB] : 	 - HttpHandlers and HttpModules
Ivan 	 .NET Section [WEB] : 	 - Action Filters
Ivan 	 .NET Section [Common] : 	 - Design patterns by GOF ( prepare 1-2 for which type of pattern: creational, structural, behavioral)
Ivan 	 .NET Section [Common] : 	 - What is the difference between string and String?
Vitaliy 	 .NET Section [Common] : 	 - How does delegate work?
Vitaliy 	 .NET Section [WEB] : 	 - What is MVC and how does it work?
Vitaliy 	 Databases : 	 - Relational and NoSql databases?
Vitaliy 	 .NET Section [Common] : 	 - Collections
Vitaliy 	 .NET Section [Common] : 	 - Composition vs Inheritance
Vitaliy 	 .NET Section [Common] : 	 - How does type string work in .NET?
Vitaliy 	 Databases : 	 - CAP theory
Vitaliy 	 .NET Section [Common] : 	 - What is OOP? Do we really need it?
Vitaliy 	 .NET Section [Common] : 	 - What can have an abstract class and interface?
Vitaliy 	 .NET Section [Common] : 	 - Generics in interfaces and delegates?
Vitaliy 	 .NET Section [Common] : 	 - How does Virtual modifier work?
Vitaliy 	 Databases : 	 - Basic CRUD queries
Vitaliy 	 .NET Section [Common] : 	 - Can Interface be substituted by Delegate and vice versa?
Vitaliy 	 .NET Section [Common] : 	 - What is the difference between class and object?
Vitaliy 	 .NET Section [Common] : 	 - Task asynchronous programming model VS Threads
Vlad 	 .NET Section [WEB] : 	 - Sessions
Vlad 	 .NET Section [Common] : 	 - What are an abstract class and interface and what is the difference in using?
Vlad 	 .NET Section [Common] : 	 - Immutable types in .net
Vlad 	 .NET Section [WEB] : 	 - YOU SHOULD DEFINITELY UNDERSTAND WHAT HAPPENS WHEN YOU TYPE SOMETHING IN URL address and press ENTER
Vlad 	 .NET Section [Common] : 	 - What is auto-properties and how it works?
Vlad 	 Databases : 	 - How does JOIN work?
Vlad 	 .NET Section [Common] : 	 - Variation in Generic parameters
Vlad 	 .NET Section [WEB] : 	 - What is the difference between MVC and Web API?
Vlad 	 .NET Section [Common] : 	 - Overloading and Overriding?
Vlad 	 .NET Section [Common] : 	 - Methods of Object class
Vlad 	 .NET Section [Common] : 	 - What is Hash and for what purpose?
Vlad 	 .NET Section [Common] : 	 - What is Generic and why do we need it?
Vlad 	 .NET Section [Common] : 	 - OOP vs Functional paradigm 
Vlad 	 .NET Section [Common] : 	 - OOP principles with examples
Vlad 	 Databases : 	 - Relations in relational DB?
Yaroslav 	 .NET Section [Common] : 	 - Generic vs Non-generic
Yaroslav 	 .NET Section [Common] : 	 - What is assembly and from which parts consist of?
Yaroslav 	 .NET Section [WEB] : 	 - ModelBinders
Yaroslav 	 .NET Section [Common] : 	 - How does CLR Thread Pool works?
Yaroslav 	 .NET Section [Common] : 	 - What the difference between is and as
Yaroslav 	 .NET Section [Common] : 	 - Try catch finally ?
Yaroslav 	 .NET Section [Common] : 	 - What is the difference between Delegate and Event? ( you must know how to write your own event )
Yaroslav 	 .NET Section [Common] : 	 - Basic mechanisms of synchronization in .NET Threading
Yaroslav 	 .NET Section [Common] : 	 - Readonly vs Const
Yaroslav 	 .NET Section [Common] : 	 - Why do we need to determine Equals and GetHashCode?
Yaroslav 	 .NET Section [Common] : 	 - Generic constraints
Yaroslav 	 .NET Section [Common] : 	 - SOLID, KISS, DRY
Yaroslav 	 .NET Section [Common] : 	 - Operator typeof vs *Object.GetType()
Yaroslav 	 .NET Section [Common] : 	 - Garbage collector and how it works?
Yaroslav 	 .NET Section [Common] : 	 - How does using work and  IDisposable interface?
Yaroslav 	 .NET Section [Common] : 	 - Reference VS Value types
